subject,prefix,n_frames,duration_s,best_ch,hr_ch,hr_bin,hr_bin_dist_m,hr_ch_power_ratio,phase_stability,n_windows,std_mm_median,std_mm_p25,std_mm_p75,std_mm_min,std_mm_max,usable_ratio,below_threshold_ratio,error
011,sub-011_mmwave,235875,2359.0,0,1,247,19.76,0.1057,0.9508,236,0.203581,0.144463,0.283428,0.015201,2.170316,1.0,0.0,
012,sub-012_mmwave,240746,2407.0,0,0,16,1.28,0.1924,0.9395,241,0.257792,0.133232,0.556051,0.004608,3.072697,1.0,0.0,
013,sub-013_mmwave,239306,2393.0,3,2,252,20.16,0.1343,0.9325,240,0.009843,0.006073,0.021429,0.001077,1.859251,1.0,0.0,
014,sub-014_mmwave,242000,2420.0,0,4,12,0.96,0.168,0.954,242,0.249098,0.184223,0.340943,0.065302,2.281941,1.0,0.0,
015,sub-015_mmwave,247593,2476.0,0,5,11,0.88,0.1097,0.9233,248,0.179603,0.130104,0.318686,0.049038,3.32681,1.0,0.0,
016,sub-016_mmwave,240082,2401.0,0,2,247,19.76,0.14,0.9363,240,0.124139,0.077801,0.16584,0.023178,1.486076,1.0,0.0,
9504,sub-9504_mmwave,225530,2255.0,3,0,11,0.88,0.1447,0.9159,226,0.234083,0.15356,0.415908,0.001702,2.0701,1.0,0.0,
