fixed_delay_ms,fixed_f1,fixed_precision,fixed_recall,method,oracle_f1,oracle_lag_upper_bound_ms,oracle_precision,oracle_recall,subject
-18.0,0.28448275862068967,0.4342105263157895,0.21153846153846154,c1c_local,0.3275862068965517,-245.0,0.5,0.24358974358974358,97793
-18.0,0.225,0.32142857142857145,0.17307692307692307,c1d_dp,0.375,-225.0,0.5357142857142857,0.28846153846153844,97793
-18.0,0.25,0.31645569620253167,0.2066115702479339,c1c_local,0.49,-250.0,0.620253164556962,0.4049586776859504,9779
-18.0,0.2037037037037037,0.23157894736842105,0.18181818181818182,c1d_dp,0.35185185185185186,-235.0,0.4,0.3140495867768595,9779
-18.0,0.21052631578947367,0.25,0.18181818181818182,c1c_local,0.24210526315789474,110.0,0.2875,0.20909090909090908,97795
-18.0,0.16346153846153846,0.17346938775510204,0.15454545454545454,c1d_dp,0.38461538461538464,240.0,0.40816326530612246,0.36363636363636365,97795
