mean_residual_ms,median_residual_ms,method,n_fixed_pairs,residual_q_ms,sd_residual_ms,subject
7.2037168560613765,7.171875000004491,c1c_local,33,"[-39.97924804687507, 7.171875000004491, 56.97558593749932]",39.48768721426373,97793
14.761791087962948,36.05346679687216,c1d_dp,27,"[-66.32934570312727, 36.05346679687216, 59.88466796874975]",46.20395534651823,97793
34.142343750000585,41.740234375005514,c1c_local,25,"[-2.646923828126006, 41.740234375005514, 59.012695312500085]",28.78924258295114,9779
8.594560102983458,25.746948242186818,c1d_dp,22,"[-57.77802734374973, 25.746948242186818, 57.83920898437636]",45.023745828873366,9779
11.530505371094126,19.578491210936022,c1c_local,20,"[-51.969995117186585, 19.578491210936022, 67.17719726562663]",52.882817812800226,97795
8.053495519301876,19.817626953124723,c1d_dp,17,"[-49.065283203123045, 19.817626953124723, 53.190722656251666]",44.18741632392566,97795
