analysis,term,estimate,se,ci95_low,ci95_high,p_nominal,effect_size,effect_ci95_low,effect_ci95_high,effect_size_label,model_type,outcome,n_probes,n_participants,n_sessions,random_intercept_variance,p_bh_focal_8
sensitivity_earliest_three_sessions_per_participant,progress,-2.4753398430527573,0.12612639125428513,-2.722547569911156,-2.2281321161943586,9.297643883509092e-86,0.08413439290935239,0.06570714746998998,0.10772946844874447,OR,random-intercept logistic mixed model (variational Bayes),probe_state: response=1 fully task-focused,1380,46,69,,
sensitivity_earliest_three_sessions_per_participant,session_order,-0.05323990937826044,0.04096246524378571,-0.13352634125608043,0.02704652249955955,0.19369549621560378,0.9481525145136882,0.8750044199585504,1.0274155995934464,OR,random-intercept logistic mixed model (variational Bayes),probe_state: response=1 fully task-focused,1380,46,69,,0.26340176963232853
sensitivity_earliest_three_sessions_per_participant,progress_x_session,0.5219169690198695,0.06720689373563427,0.39019145729802635,0.6536424807417127,8.111554724456049e-15,1.685255137102249,1.4772635997064316,1.9225308724143169,OR,random-intercept logistic mixed model (variational Bayes),probe_state: response=1 fully task-focused,1380,46,69,,6.489243779564839e-14
sensitivity_earliest_three_sessions_per_participant,progress,0.3650141412294073,0.08262897252300147,0.2030613550843244,0.5269669273744901,9.984540928370904e-06,1.4405343789323044,1.225147634977999,1.6937871303348226,OR,random-intercept logistic mixed model (variational Bayes),pre10 error rate (binomial numerator/denominator),1380,46,69,,
sensitivity_earliest_three_sessions_per_participant,session_order,0.12042382068588078,0.023981498693167277,0.07342008324727292,0.16742755812448865,5.126143340424229e-07,1.12797480934538,1.0761825282221824,1.1822596419768947,OR,random-intercept logistic mixed model (variational Bayes),pre10 error rate (binomial numerator/denominator),1380,46,69,,1.366971557446461e-06
sensitivity_earliest_three_sessions_per_participant,progress_x_session,-0.22370544677370308,0.04159988713342847,-0.3052412255552229,-0.14216966799218328,7.550651302167614e-08,0.7995506098993576,0.7369455828411672,0.8674740614168496,OR,random-intercept logistic mixed model (variational Bayes),pre10 error rate (binomial numerator/denominator),1380,46,69,,3.0202605208670455e-07
sensitivity_earliest_three_sessions_per_participant,progress,0.053816854315002334,0.05731379202866766,-0.058518178061186275,0.16615188669119094,0.3477378786441686,0.053816854315002334,-0.058518178061186275,0.16615188669119094,beta (log-ms),linear mixed model with participant random intercept,pre10 RT median,1375,46,69,0.041083544203995015,
sensitivity_earliest_three_sessions_per_participant,session_order,0.04651137005322542,0.019750402181267515,0.007800581777941094,0.08522215832850974,0.018524793218121803,0.04651137005322542,0.007800581777941094,0.08522215832850974,beta (log-ms),linear mixed model with participant random intercept,pre10 RT median,1375,46,69,0.041083544203995015,0.037049586436243606
sensitivity_earliest_three_sessions_per_participant,progress_x_session,-0.019888684364473767,0.029592199713206115,-0.07788939580235775,0.038112027073410215,0.5015250500973991,-0.019888684364473767,-0.07788939580235775,0.038112027073410215,beta (log-ms),linear mixed model with participant random intercept,pre10 RT median,1375,46,69,0.041083544203995015,0.5015250500973991
sensitivity_earliest_three_sessions_per_participant,progress,0.10328273853407742,0.16004936556810595,-0.21041401797941023,0.4169794950475651,0.5187211220550563,0.10328273853407742,-0.21041401797941023,0.4169794950475651,beta (log-ms),linear mixed model with participant random intercept,pre10 RT variability (SD),1359,46,69,0.08305580332598955,
sensitivity_earliest_three_sessions_per_participant,session_order,-0.0697052690270515,0.0540955056966839,-0.17573246019255195,0.03632192213844894,0.1975513272242464,-0.0697052690270515,-0.17573246019255195,0.03632192213844894,beta (log-ms),linear mixed model with participant random intercept,pre10 RT variability (SD),1359,46,69,0.08305580332598955,0.26340176963232853
sensitivity_earliest_three_sessions_per_participant,progress_x_session,0.08823631909429172,0.08274167318932894,-0.07393736035679299,0.25040999854537643,0.2862395916219077,0.08823631909429172,-0.07393736035679299,0.25040999854537643,beta (log-ms),linear mixed model with participant random intercept,pre10 RT variability (SD),1359,46,69,0.08305580332598955,0.3271309618536088
