estimator,n,mae_bpm,median_ae_bpm,mean_signed_bias_bpm,p90_ae_bpm,max_ae_bpm,ae_le_5_n,ae_gt_5_n,ae_gt_10_n,ae_gt_20_n,paired_improve,paired_worsen,paired_tie,switched_n
CONTROL_FUSED,100,10.457079173363644,7.815392952963855,-9.033105841645153,24.054346217778583,37.5747143956997,39,61,42,19,0,0,100,0
CONTROL_TIME,100,8.996965770296207,7.004180419470629,-6.737621326761782,21.711060573342433,32.618599283241196,41,59,32,13,0,0,0,0
CONTROL_SPECTRAL,100,15.12383419314452,13.605083522880655,-13.35101004598486,30.813788975486204,39.29016487730061,31,69,57,41,0,0,0,0
H1_WARNING_TIME_GATE,100,9.618843685367818,6.888377526981486,-7.508495135891511,24.054346217778583,37.5747143956997,41,59,36,16,8,1,91,31
H2_HARMONIC_CONFLICT_TIME_GATE,100,10.454473581333115,7.815392952963855,-8.852046845781182,24.054346217778583,37.5747143956997,39,61,42,19,1,0,99,8
H3_LOW_CONFIDENCE_TIME_GATE,100,9.739717547122785,6.888377526981486,-7.629368997646478,24.054346217778583,37.5747143956997,41,59,37,16,7,1,92,24
