subject,estimator,n,mae_bpm,median_ae_bpm,mean_signed_bias_bpm,p90_ae_bpm,max_ae_bpm,ae_le_5_n,ae_gt_5_n,ae_gt_10_n,ae_gt_20_n,delta_mae_vs_control_fused_bpm
9779,CONTROL_FUSED,20,7.027020022471707,1.7642960217811279,-5.8110891335441535,18.65340551403983,32.55409570346066,13,7,6,2,0.0
9779,CONTROL_TIME,20,6.104599800931984,3.2584292041265783,-4.355331211579156,16.89990832002743,26.56737877828685,14,6,5,1,-0.9224202215397233
9779,CONTROL_SPECTRAL,20,10.581645335573151,2.0375726064569406,-9.148601430195711,33.40728363433441,35.18244553435029,12,8,7,5,3.554625313101444
9779,H1_WARNING_TIME_GATE,20,6.100891835794084,1.7642960217811279,-4.88496094686653,17.60871336898669,32.55409570346066,14,6,5,1,-0.9261281866776239
9779,H2_HARMONIC_CONFLICT_TIME_GATE,20,7.027020022471707,1.7642960217811279,-5.8110891335441535,18.65340551403983,32.55409570346066,13,7,6,2,0.0
9779,H3_LOW_CONFIDENCE_TIME_GATE,20,6.100891835794084,1.7642960217811279,-4.88496094686653,17.60871336898669,32.55409570346066,14,6,5,1,-0.9261281866776239
97793,CONTROL_FUSED,20,8.53324242351509,6.534241650638904,-7.293916387908507,18.7335066232569,20.34893236781972,10,10,7,1,0.0
97793,CONTROL_TIME,20,7.5452132110395835,7.355623889002587,-5.084075447563202,13.4089108796071,17.352001271208835,9,11,6,0,-0.9880292124755057
97793,CONTROL_SPECTRAL,20,16.517694889339683,20.099783459022056,-15.455967193484465,29.354666434683512,30.978583897361204,5,15,13,11,7.984452465824594
97793,H1_WARNING_TIME_GATE,20,8.363676443651535,6.534241650638904,-6.025717595544961,18.7335066232569,20.34893236781972,10,10,7,1,-0.16956597986355426
97793,H2_HARMONIC_CONFLICT_TIME_GATE,20,8.53324242351509,6.534241650638904,-7.293916387908507,18.7335066232569,20.34893236781972,10,10,7,1,0.0
97793,H3_LOW_CONFIDENCE_TIME_GATE,20,8.363676443651535,6.534241650638904,-6.025717595544961,18.7335066232569,20.34893236781972,10,10,7,1,-0.16956597986355426
97794,CONTROL_FUSED,20,7.8336902667750365,6.874775649605354,-4.998838820797394,14.998977219576187,21.49034667348316,6,14,7,1,0.0
97794,CONTROL_TIME,20,6.007646371310026,6.394607609986906,-0.43068783181829035,9.324139017807624,12.410763316859018,7,13,2,0,-1.826043895465011
97794,CONTROL_SPECTRAL,20,11.405819980528738,10.02478515917985,-8.579134591803584,21.80087438650269,27.333712553466555,5,15,10,4,3.572129713753702
97794,H1_WARNING_TIME_GATE,20,6.101535201568451,6.289171934811947,-0.9334404793017225,12.09577297542998,14.83935056895357,7,13,4,0,-1.7321550652065856
97794,H2_HARMONIC_CONFLICT_TIME_GATE,20,7.820662306622401,6.874775649605354,-4.093543841477541,14.998977219576187,21.49034667348316,6,14,7,1,-0.013027960152635742
97794,H3_LOW_CONFIDENCE_TIME_GATE,20,6.101535201568451,6.289171934811947,-0.9334404793017225,12.09577297542998,14.83935056895357,7,13,4,0,-1.7321550652065856
97795,CONTROL_FUSED,20,18.97602092546019,22.397706337272915,-17.489203775661228,32.475090177381546,37.5747143956997,4,16,13,11,0.0
97795,CONTROL_TIME,20,15.699352013143164,14.651153215405714,-14.510958538216688,29.71752339553861,32.618599283241196,5,15,11,9,-3.2766689123170263
97795,CONTROL_SPECTRAL,20,22.30254043634322,26.26123764857539,-19.457447325074035,37.00798776710114,39.29016487730061,2,18,15,13,3.326519510883031
97795,H1_WARNING_TIME_GATE,20,17.612692717228832,18.220937719299265,-16.125875567429865,32.475090177381546,37.5747143956997,4,16,11,10,-1.3633282082313585
97795,H2_HARMONIC_CONFLICT_TIME_GATE,20,18.97602092546019,22.397706337272915,-17.489203775661228,32.475090177381546,37.5747143956997,4,16,13,11,0.0
97795,H3_LOW_CONFIDENCE_TIME_GATE,20,18.217062026003667,21.736910042081206,-16.7302448762047,32.475090177381546,37.5747143956997,4,16,12,10,-0.7589588994565233
97796,CONTROL_FUSED,20,9.915422228596185,8.890834390635924,-9.572481090314469,22.43538712300958,23.774105289306718,6,14,9,4,0.0
97796,CONTROL_TIME,20,9.628017455056264,8.383781630692411,-9.307053604631573,20.625145455344168,21.65268986361778,6,14,8,3,-0.28740477353992055
97796,CONTROL_SPECTRAL,20,14.811470323937806,12.070728219686039,-14.113899689366516,29.515204545959858,36.64255666208791,7,13,12,8,4.896048095341621
97796,H1_WARNING_TIME_GATE,20,9.915422228596185,8.890834390635924,-9.572481090314469,22.43538712300958,23.774105289306718,6,14,9,4,0.0
97796,H2_HARMONIC_CONFLICT_TIME_GATE,20,9.915422228596185,8.890834390635924,-9.572481090314469,22.43538712300958,23.774105289306718,6,14,9,4,0.0
97796,H3_LOW_CONFIDENCE_TIME_GATE,20,9.915422228596185,8.890834390635924,-9.572481090314469,22.43538712300958,23.774105289306718,6,14,9,4,0.0
