frame_index_relative,timestamp_column_1_relative_ms,timestamp_column_2_relative_ms
420,4232,7607
421,4240,7611
422,4252,7613
423,4259,7615
424,4271,7619
425,4281,7622
426,4292,7628
427,4302,7642
428,4310,7648
429,4322,7651
430,4331,7656
431,4342,7665
432,4351,7666
433,4362,7675
434,4372,7680
435,4381,7682
436,4393,7684
437,4403,7695
438,4413,7705
439,4423,7707
440,4434,7717
441,4442,7725
442,4453,7727
443,4463,7730
444,4473,7732
445,4483,7735
446,4492,7737
447,4503,7741
448,4511,7742
449,4524,7747
450,4533,7752
451,4543,7756
452,4553,7761
453,4563,7766
454,4574,7768
455,4583,7772
456,4595,7782
457,4602,7784
458,4613,7790
459,4623,7796
460,4633,7798
461,4644,7800
462,4655,7801
463,4664,7809
464,4673,7811
465,4684,7812
466,4695,7814
467,4706,7825
468,4715,7829
469,4726,7835
470,4736,7837
471,4745,7842
472,4754,7848
473,4766,7850
474,4777,7851
475,4784,7866
476,4795,7872
477,4805,7887
478,4815,7892
479,4825,7894
480,4836,7904
481,4846,7906
482,4856,7907
483,4864,7909
484,4876,7911
485,4887,7912
486,4895,7914
487,4906,7918
488,4916,7920
489,4925,7922
490,4936,7923
491,4945,7925
492,4957,7930
493,4967,7932
494,4978,7936
495,4984,7940
496,4997,7941
497,5009,7946
498,5017,7951
499,5028,7957
500,5035,7961
501,5048,7964
502,5057,7966
503,5069,7968
504,5077,7978
505,5088,7983
506,5098,7985
507,5108,7996
508,5117,7999
509,5128,8004
510,5137,8008
511,5147,8014
512,5157,8016
513,5165,8020
514,5179,8024
515,5188,8027
516,5198,8039
517,5207,8043
518,5220,8048
519,5229,8052
520,5239,8055
521,5250,8056
522,5259,8058
523,5270,8065
524,5280,8067
525,5288,8069
526,5298,8077
527,5310,8083
528,5320,8097
529,5331,8098
530,5340,8100
531,5347,8105
532,5359,8107
533,5369,8109
534,5380,8114
535,5390,8117
536,5400,8119
537,5410,8121
538,5420,8130
539,5429,8134
540,5440,8148
541,5450,8150
542,5459,8158
543,5470,8159
544,5481,8161
545,5490,8163
546,5501,8165
547,5512,8169
548,5522,8177
549,5530,8179
550,5542,8189
551,5550,8192
552,5561,8197
553,5570,8202
554,5581,8204
555,5590,8205
556,5603,8220
557,5613,8227
558,5619,8232
559,5632,8237
560,5641,8240
561,5653,8245
562,5662,8247
563,5671,8249
564,5682,8251
565,5693,8252
566,5702,8253
567,5713,8255
568,5723,8256
569,5732,8257
570,5740,8259
571,5752,8261
572,5763,8264
573,5772,8275
574,5783,8281
575,5791,8282
576,5804,8287
577,5813,8292
578,5823,8305
579,5832,8306
580,5842,8311
581,5853,8313
582,5861,8317
583,5872,8319
584,5884,8326
585,5894,8327
586,5905,8329
587,5914,8331
588,5925,8332
589,5933,8334
590,5945,8336
591,5955,8341
592,5965,8346
593,5972,8348
594,5985,8354
595,5994,8363
596,6003,8369
597,6014,8376
598,6023,8381
599,6035,8383
600,6044,8389
601,6054,8402
602,6066,8410
603,6075,8413
604,6084,8415
605,6093,8419
606,6104,8430
607,6116,8435
608,6125,8437
609,6136,8439
610,6146,8441
611,6156,8446
612,6166,8448
613,6175,8451
614,6184,8452
615,6194,8463
616,6206,8469
617,6217,8470
618,6227,8477
619,6235,8481
620,6247,8483
621,6255,8493
622,6265,8495
623,6277,8501
624,6288,8503
625,6295,8504
626,6307,8509
627,6316,8517
628,6325,8521
629,6336,8527
630,6348,8537
631,6356,8539
632,6366,8541
633,6378,8544
634,6387,8546
635,6396,8548
636,6408,8553
637,6417,8555
638,6428,8578
639,6438,8585
640,6449,8591
641,6458,8600
642,6468,8603
643,6477,8605
644,6487,8611
645,6496,8621
646,6508,8623
647,6518,8624
648,6527,8626
649,6537,8628
650,6549,8641
651,6559,8649
652,6568,8653
653,6577,8662
654,6587,8666
655,6599,8667
656,6609,8675
657,6620,8682
658,6629,8683
659,6639,8687
660,6650,8693
661,6659,8695
662,6668,8702
663,6678,8703
664,6689,8706
665,6698,8708
666,6709,8711
667,6721,8712
668,6730,8718
