window_s,model,feature_set,n_probe,n_session,n_participant,positive_n,positive_rate,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,brier,tn,fp,fn,tp,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_ci95_low,pr_auc_ci95_high,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,sensitivity_ci95_low,sensitivity_ci95_high,specificity_ci95_low,specificity_ci95_high,brier_ci95_low,brier_ci95_high
10,logistic_l2,C_context_only,1400,70,46,362,0.25857142857142856,0.5933691012252632,0.3384408036099961,0.5678951234311628,0.56353591160221,0.5722543352601156,0.24315108883486444,594,444,158,204,0.5515645843451913,0.6367184956521609,0.24706304715037353,0.4354502258902662,0.5328164665027529,0.6048718477835395,0.5104482775869543,0.6197122954912051,0.553568247370207,0.5922993092742284,0.23872698062621694,0.24796620078627823
10,logistic_l2,B_behavior_only,1400,70,46,362,0.25857142857142856,0.5682224635135567,0.31044279427876076,0.5844084991324158,0.3701657458563536,0.7986512524084779,0.2463100285331156,829,209,228,134,0.4973475012305432,0.6352538041798989,0.23093614241577626,0.4103838219433087,0.5478115261389768,0.6222493448726701,0.2845841768694367,0.448508682328907,0.7455057037927784,0.8495069532886899,0.23576707096088,0.2578526801242415
10,logistic_l2,C_plus_B,1400,70,46,362,0.25857142857142856,0.6371262202067299,0.3513176856435003,0.6145610449334142,0.6077348066298343,0.6213872832369942,0.23859539099671767,645,393,142,220,0.5920565675733495,0.6857651102149732,0.2628967858777184,0.4581102177140922,0.5806521886806051,0.6513116391888126,0.5432371007371007,0.6801336685265804,0.5803367914289975,0.661721033488022,0.2280693582883833,0.24976461984050777
20,logistic_l2,C_context_only,1400,70,46,362,0.25857142857142856,0.5933691012252632,0.3384408036099961,0.5678951234311628,0.56353591160221,0.5722543352601156,0.24315108883486444,594,444,158,204,0.5516328823315133,0.636724142649469,0.2510286039266012,0.4375214381654355,0.5326527984354736,0.6028836317358723,0.5112771394779082,0.6200032467532467,0.5537094741665712,0.591720945083014,0.23851908714209308,0.24775564677577044
20,logistic_l2,B_behavior_only,1400,70,46,362,0.25857142857142856,0.6242668114414673,0.35472802597939423,0.6152982254441712,0.5966850828729282,0.6339113680154143,0.23714848710922984,658,380,146,216,0.5620988421446678,0.6842801062432033,0.2665346437602669,0.4595813058254059,0.5699977668200287,0.6612307814619547,0.5019635343618514,0.687857843357439,0.5704828349600994,0.6943097477937553,0.22237712151748149,0.25428738855053673
20,logistic_l2,C_plus_B,1400,70,46,362,0.25857142857142856,0.6719573340146265,0.3898740183839803,0.6232608394809398,0.585635359116022,0.6608863198458574,0.2286997427595978,686,352,150,212,0.6250082341829257,0.7191345677821589,0.2993103515888023,0.49705290736563634,0.5865567300657852,0.6598591596610487,0.5133978073283588,0.6635568197209806,0.603654854821431,0.7146825099131925,0.2146231135578351,0.24526742399499993
30,logistic_l2,C_context_only,1400,70,46,362,0.25857142857142856,0.5933691012252632,0.3384408036099961,0.5678951234311628,0.56353591160221,0.5722543352601156,0.24315108883486444,594,444,158,204,0.5477067945647592,0.638417558316346,0.24720903512452552,0.43915933959193276,0.532147544459599,0.6021257138617159,0.5097014671258732,0.6164685737308622,0.5528749188235386,0.5931635495632253,0.2385274361561485,0.2482529001433432
30,logistic_l2,B_behavior_only,1400,70,46,362,0.25857142857142856,0.639377681261244,0.36704657455789846,0.6204691342254016,0.6022099447513812,0.638728323699422,0.23576737491278746,663,375,144,218,0.5749590353882016,0.707616487831777,0.2884885672417204,0.47954516437234057,0.5705375373390333,0.6687761640786812,0.4999659400544959,0.7067100288612466,0.5695574769161433,0.6995193192499876,0.22012950110064847,0.2539977359502688
30,logistic_l2,C_plus_B,1400,70,46,362,0.25857142857142856,0.6749965403080722,0.39258020873609817,0.639963167587477,0.6132596685082873,0.6666666666666666,0.22801001783561803,692,346,140,222,0.6206941788102812,0.7255849245185869,0.30911231393301963,0.5038091281254106,0.602905292149549,0.6783923779355127,0.5405383538878685,0.6940225636332988,0.6112202238499803,0.7198223234624145,0.21306772623900957,0.2455245612810592
