metric,n_windows,n_sessions,n_participants,windows_min,windows_median,windows_max,unique_targets_median_per_session,target_switches,target_switch_rate_over_transitions,target_stability_fraction_session_median,target_stability_fraction_session_min,target_stability_fraction_session_max,sessions_target_stable_100pct,channel_switches,channel_switch_rate_over_transitions,channel_stability_fraction_session_median,analysis_role
HR,99,5,5,19,20.0,20,1.0,0,0.0,1.0,1.0,1.0,5,0,0.0,1.0,existing estimator target/channel sequence; stability is not chest-lock confirmation
BR,99,5,5,19,20.0,20,1.0,0,0.0,1.0,1.0,1.0,5,0,0.0,1.0,existing estimator target/channel sequence; stability is not chest-lock confirmation
