n_probe,n_session,n_participant,adjusted,status,participant_variance,session_within_person_variance,within_session_probe_variance,total_variance,icc_person,session_variance_proportion,probe_variance_proportion,feature,feature_value_column,feature_family,scale
1420,71,46,False,ok,1.0108301084000317,1.453226821291898,11.877581152523117,14.341638082215047,0.07048219335931746,0.10132920751179973,0.8281885991288828,m1_phase_std_rad,m1_phase_std_rad,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,1.2004715888150141,0.4491866335226765,1.6770579970341613,3.3267162193718516,0.3608578278557485,0.135024030876758,0.5041181412674935,m1_phase_velocity_mad,m1_phase_velocity_mad,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,1088.223391882434,537.6672507036033,2663.141088306358,4289.031730892395,0.25372239240953653,0.12535865538857505,0.6209189522018885,m1_phase_accel_mad,m1_phase_accel_mad,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.18212158474230006,0.061605586003530916,0.5482415745979107,0.7919687453437416,0.2299605708092092,0.07778790055255523,0.6922515286382356,m1_log_power_low,m1_log_power_low,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.11353152577225352,0.016394959612156597,0.16817763207967784,0.29810411746408794,0.3808452118610219,0.05499742758209862,0.5641573605568796,m1_log_power_transition,m1_log_power_transition,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.06684147505673814,0.02236996442686428,0.13515709418513194,0.22436853366873435,0.2979093100257332,0.09970187914091415,0.6023888108333527,m1_log_power_micro,m1_log_power_micro,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.0006845975082879517,0.0009461339631331375,0.00510504548706256,0.006735776958483649,0.10163601207514857,0.14046396859110521,0.7579000193337463,m1_log_power_high,m1_log_power_high,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.00038515309075572976,0.00016152416506659903,0.0026459825969618453,0.003192659852784174,0.12063705766207922,0.05059235011388424,0.8287705922240366,m1_micro_power_fraction,m1_micro_power_fraction,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.0013705353795212983,0.0006573726476073064,0.020136035430358957,0.02216394345748756,0.06183626041774148,0.0296595526363892,0.9085041869458694,m1_phase_peak_micro_hz,m1_phase_peak_micro_hz,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,1.1470312315566065e-25,5.1593149999917834e-26,5.492640497336802e-25,7.155603228892586e-25,0.1602983277391867,0.07210174788842014,0.7675999243723932,m1_micro_peak_share,m1_micro_peak_share,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.0004569050756285731,0.0006413034353007786,0.0031053118669263874,0.0042035203778557385,0.10869581554440931,0.1525634177198671,0.7387407667357238,m1_micro_spectral_entropy,m1_micro_spectral_entropy,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.1330166486342506,0.01888468926259886,2.2149029919816385,2.366804329878488,0.056200948661049514,0.007978982049423747,0.9358200692895267,m1_harmonic_overlap,m1_harmonic_overlap,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.28633221412355564,0.11468225240741244,9.353862807906,9.754877274436968,0.02935272336781727,0.011756401355037208,0.9588908752771454,m1_harmonic_power_fraction,m1_harmonic_power_fraction,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.01624014703459105,0.006768641357167928,0.8415859451694636,0.8645947335612226,0.01878353684586846,0.007828686775928222,0.9733877763782033,m1_phase_trend_rad_s,m1_phase_trend_rad_s,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,1.7058135565341037,14.303673000347027,32.252365510870696,48.26185206775183,0.035344966748052216,0.29637637984275833,0.6682786534091893,q_target_power_snr_db,q_target_power_snr_db,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.0013827374683877838,0.0011792558025198322,0.01565789513111963,0.01821988840202725,0.0758916541022245,0.064723546955898,0.8593847989418774,q_target_amplitude_cv,q_target_amplitude_cv,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,1.1212397231816377e-06,1.0905363767950347e-06,5.20368178017415e-06,7.415457880150823e-06,0.15120303308348546,0.14706258122160007,0.7017343856949144,q_phase_jump_fraction,q_phase_jump_fraction,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,8.200192304975009e-14,2.0259421307357972e-05,5.1943928874284815e-05,7.220335026364471e-05,1.1357080073199745e-09,0.2805883831343328,0.7194116157299592,q_frame_gap_fraction,q_frame_gap_fraction,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,7.986807043701127e-05,0.000630680628447339,0.001124554221368318,0.0018351029202526683,0.04352239297075204,0.34367588950297295,0.612801717526275,q_frame_gap_duration_fraction,q_frame_gap_duration_fraction,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.10277979650476587,0.1920733132271826,30.142357440076193,30.437210549808142,0.003376781073172743,0.006310476872145345,0.9903127420546819,q_frame_rate_hz,q_frame_rate_hz,C2b-v2_all_sessions,absolute
1420,71,46,False,ok,0.000383815189409078,9.548523704043332e-13,0.009548515684879019,0.009932330875242949,0.038643012826502295,9.613577944572624e-11,0.961356987077362,q_selection_margin,q_selection_margin,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,1.0108285269800623,1.453781987033834,11.866490224899735,14.331100738913632,0.0705339070177165,0.10144245117797127,0.8280236418043122,m1_phase_std_rad,m1_phase_std_rad,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,1.200473089020995,0.45022477210890643,1.6563099919560416,3.307007853085943,0.3630088413309241,0.1361426377287789,0.5008485209402971,m1_phase_velocity_mad,m1_phase_velocity_mad,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,1088.2269398791002,538.2569588932407,2651.0947984849277,4277.578697257269,0.2544025526816977,0.12583215809410228,0.6197652892241999,m1_phase_accel_mad,m1_phase_accel_mad,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.18212160865968036,0.06157445485185331,0.5488643169113171,0.7925603804228507,0.22978893868314984,0.07769055377080773,0.6925205075460426,m1_log_power_low,m1_log_power_low,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.1135355117849993,0.01644910999454817,0.16708225501337337,0.2970668767929208,0.38218839141781047,0.05537174043814553,0.5624398681440441,m1_log_power_transition,m1_log_power_transition,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.06684146730031769,0.022386727182163002,0.13482158605504907,0.22404978053752977,0.2983331076689955,0.09991854099769172,0.6017483513333127,m1_log_power_micro,m1_log_power_micro,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.0006845979753488122,0.0009458006594055348,0.0051118234091113626,0.00674222204386571,0.10153892454071303,0.14028025972031796,0.758180815738969,m1_log_power_high,m1_log_power_high,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.00038510535479671426,0.00016297211009645512,0.002616921996516612,0.003164999461409782,0.12167627814545574,0.051491986675998566,0.8268317351785456,m1_micro_power_fraction,m1_micro_power_fraction,C2b-v2_all_sessions,absolute
1420,71,46,True,ok,0.0013703889334967822,0.0006605283523542842,0.02007878346633874,0.022109700752189806,0.06198134243680594,0.029875047145939485,0.9081436104172547,m1_phase_peak_micro_hz,m1_phase_peak_micro_hz,C2b-v2_all_sessions,absolute
