session,model,n_windows_expected,n_windows_completed,matched_ibi_usable_windows,matched_rmssd_usable_windows,hr_abs_error_bpm,ibi_mae_ms_matched,ibi_rmse_ms_matched,beat_recall,rmssd_abs_error_ms_matched,resp_harmonic_mislock
sub-97794_,S1,20,20,20,7,5.688076435482349,97.80605158730144,114.44010382426157,0.29762542771368194,162.80778017955734,0.35
sub-97794_,T0,20,20,19,12,5.858850028382756,103.53469009061124,121.70591827843421,0.31256335455629425,153.88411859643298,0.45
sub-97795_,S1,20,20,17,7,17.731524473511534,79.855166719094,97.6024952861634,0.2758918242822036,106.74676561789329,0.25
sub-97795_,T0,20,20,19,11,17.606524473511538,74.30731658692137,88.75343176972247,0.2943181684694173,109.7559018363101,0.4
sub-97796_,S1,20,20,20,17,10.46778503100261,67.62758699633696,84.88275297236018,0.33111887232167897,121.12676014233338,0.3
sub-97796_,T0,20,20,20,13,10.22632149221703,63.03934496059513,76.43300669012767,0.3245324755788272,101.1210809392087,0.35
sub-9779_,S1,20,20,20,12,11.03383580519571,86.55780122655116,102.61143803532855,0.3378565002519354,112.93632747104014,0.45
sub-9779_,T0,20,20,20,17,8.718426426161432,73.28723623620094,89.00978046719817,0.3502782869331983,124.19025033111342,0.25
