subject,session_status,formal_usable,analysis_eligible,face_frames_rows,baseline_rows,baseline_coverage_ms,block1_rows,block1_coverage_ms,block2_rows,block2_coverage_ms,non_task_context_rows,behavior_aligned_rows,probe_aligned_rows,face_raw_rows,motion_raw_rows,pose_landmark_rows,merge_key,notes
sub-093,complete,TRUE,TRUE,24461,2700,179935,8638,575810,8850,589989,4273,17482,2591,24485,48923,538164,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-094,complete,TRUE,TRUE,24873,2701,179961,9102,606702,8429,561875,4641,17526,2724,24873,49745,547206,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-095,complete,TRUE,TRUE,23516,2701,179966,8378,558450,8177,545072,4260,16551,1811,23516,47031,517341,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-096,complete,TRUE,TRUE,24411,2701,179973,8993,599738,8774,584850,3943,17759,2802,24423,48808,537141,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-098,complete,TRUE,TRUE,22620,2700,179935,8187,545747,8183,545456,3550,16363,1623,22764,45241,497673,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-100,complete,TRUE,TRUE,22082,2700,179940,8093,539463,8177,545076,3112,16266,1440,22083,44163,485826,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-104,complete,TRUE,TRUE,23779,2701,179983,8447,563056,8347,556402,4284,16790,2036,23783,47558,523149,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-106,complete,TRUE,TRUE,21538,2701,179968,8074,538182,7991,532672,2772,16062,1287,21538,43075,473814,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-107,complete,TRUE,TRUE,23960,2700,179934,8619,574547,8360,557292,4281,16975,2175,23974,47919,527109,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-108,complete,TRUE,TRUE,22245,2700,179923,8274,551532,8333,555472,2938,16600,1725,22245,44488,489390,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-109,complete,TRUE,TRUE,21897,2700,179924,8134,542181,8169,544533,2894,16297,1504,21899,43792,481734,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-110,complete,TRUE,TRUE,22054,2701,179966,8140,542594,8322,554771,2891,16457,1535,22054,44107,485199,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-114,complete,TRUE,TRUE,22478,2700,179915,8414,560865,8357,557062,3007,16766,1933,22478,44955,494505,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-116,complete,TRUE,TRUE,23399,2700,179915,9123,608143,8295,552924,3281,17411,2504,23612,46796,519746,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-117,complete,TRUE,TRUE,23149,2701,179980,8402,560060,8302,553394,3744,16700,1803,23149,46298,509289,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-118,complete,TRUE,TRUE,22333,2700,179939,8190,545932,8039,535890,3404,16226,1480,22339,44666,491535,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-119,complete,TRUE,TRUE,23184,2700,179933,8494,566212,8461,563998,3529,16948,2127,23184,46367,510048,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-122,complete,TRUE,TRUE,23664,2700,179882,8302,553399,8284,552194,4378,16581,1787,23670,47328,520608,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-123,complete,TRUE,TRUE,23341,2701,179990,8634,575531,8407,560365,3599,17036,2285,23384,46680,513480,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-124,complete,TRUE,TRUE,21981,2701,179985,8089,539166,8059,537195,3132,16142,1402,21983,43960,511038,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-125,complete,TRUE,TRUE,22537,2700,179917,8108,540466,8317,554422,3412,16423,1663,22537,45073,495825,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-126,complete,TRUE,TRUE,21606,2700,179932,7960,530596,7964,530850,2982,15921,1114,21608,43211,475332,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-127,complete,TRUE,TRUE,22706,2701,179983,8266,550991,8242,549384,3497,16500,1654,22706,45411,499521,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-128,complete,TRUE,TRUE,21865,2701,179983,8258,550479,8095,539594,2811,16350,1599,21874,43729,481041,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-129,complete,TRUE,TRUE,22882,2700,179930,8478,565145,8408,560443,3296,16881,2051,22882,45763,503415,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-130,skipped_complete,TRUE,TRUE,24300,2700,179888,8709,580525,8784,585550,4107,17485,2561,24328,48599,535095,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-131,complete,TRUE,TRUE,22548,2700,179917,8094,539515,8049,536529,3705,16138,1304,22648,45096,496056,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-133,complete,TRUE,TRUE,21568,2701,179978,8139,542527,8126,541650,2602,16261,1460,21568,43134,474507,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-134,complete,TRUE,TRUE,23519,2701,179981,8224,548194,8241,549355,4353,16460,1666,23535,47037,517407,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-139,complete,TRUE,TRUE,22951,2700,179933,8443,562776,8154,543632,3654,16595,1784,23147,45903,504966,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-143,complete,TRUE,TRUE,23615,2700,179924,8095,539595,8105,540250,4715,16194,1334,23615,47229,519486,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-145,complete,TRUE,TRUE,22365,2701,179978,8119,541188,8202,546735,3343,16314,1475,22365,44729,492030,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-147,complete,TRUE,TRUE,22119,2700,179918,8158,543777,8208,547109,3053,16361,1521,22130,44237,486618,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-148,complete,TRUE,TRUE,21529,2701,179985,8047,536414,8139,542538,2642,16182,1403,21529,43058,473649,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-154,complete,TRUE,TRUE,22524,2700,179903,8221,547973,8555,570273,3048,16773,1995,22529,45046,495528,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-158,complete,TRUE,TRUE,21745,2700,179889,7998,533157,8083,538787,2964,16078,1283,21745,43489,478401,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-160,complete,TRUE,TRUE,21409,2700,179918,7959,530510,8038,535781,2712,15993,1163,21410,42816,471009,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-162,complete,TRUE,TRUE,21932,2697,179919,8127,541774,8161,544010,2947,16285,1477,21937,43863,482526,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-166,complete,TRUE,TRUE,22050,2701,179968,8198,546466,8118,541124,3033,16312,1533,22050,44099,495194,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-170,complete,TRUE,TRUE,21848,2701,179998,8124,541544,8330,555281,2693,16451,1665,21848,43696,480678,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-175,complete,TRUE,TRUE,21954,2700,179918,8033,535457,8041,535984,3180,16070,1265,21954,43907,482988,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-178,complete,TRUE,TRUE,24904,2700,179922,8833,588832,8490,568308,4881,17316,2522,24904,49611,548493,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated




