subject,session_status,formal_usable,face_frames_rows,behavior_aligned_rows,probe_aligned_rows,baseline_rows,block1_rows,block2_rows,non_task_context_rows,merge_key,notes
sub-131,complete,TRUE,22548,1304,22648,2700,8094,8049,16138,496056,subject|session|block|probe|window
sub-133,complete,TRUE,21568,1460,21568,2701,8139,8126,16261,474507,subject|session|block|probe|window
sub-134,complete,TRUE,23519,1666,23535,2701,8224,8241,16460,517407,subject|session|block|probe|window
sub-139,complete,TRUE,22951,1784,23147,2700,8443,8154,16595,504966,subject|session|block|probe|window
sub-143,complete,TRUE,23615,1334,23615,2700,8095,8105,16194,519486,subject|session|block|probe|window
sub-145,complete,TRUE,22365,1475,22365,2701,8119,8202,16314,492030,subject|session|block|probe|window
sub-147,complete,TRUE,22119,1521,22130,2700,8158,8208,16361,486618,subject|session|block|probe|window
sub-148,complete,TRUE,21529,1403,21529,2701,8047,8139,16182,473649,subject|session|block|probe|window
sub-154,complete,TRUE,22524,1995,22529,2700,8221,8555,16773,495528,subject|session|block|probe|window
sub-158,complete,TRUE,21745,1283,21745,2700,7998,8083,16078,478401,subject|session|block|probe|window
sub-160,complete,TRUE,21409,1163,21410,2700,7959,8038,15993,471009,subject|session|block|probe|window
sub-162,complete,TRUE,21932,1477,21937,2697,8127,8161,16285,482526,subject|session|block|probe|window
sub-166,complete,TRUE,22050,1533,22050,2701,8198,8118,16312,495194,subject|session|block|probe|window
sub-170,complete,TRUE,21848,1665,21848,2701,8124,8330,16451,480678,subject|session|block|probe|window
sub-175,complete,TRUE,21954,1265,21954,2700,8033,8041,16070,482988,subject|session|block|probe|window
sub-178,complete,TRUE,24904,2522,24904,2700,8833,8490,17316,548493,subject|session|block|probe|window



