window_s,model,feature_set,n_probe,n_session,n_participant_groups,positive_n,positive_rate,n_features,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,brier,tn,fp,fn,tp,roc_auc_ci95_low,pr_auc_ci95_low,balanced_accuracy_ci95_low,sensitivity_ci95_low,specificity_ci95_low,brier_ci95_low,tn_ci95_low,fp_ci95_low,fn_ci95_low,tp_ci95_low,roc_auc_ci95_high,pr_auc_ci95_high,balanced_accuracy_ci95_high,sensitivity_ci95_high,specificity_ci95_high,brier_ci95_high,tn_ci95_high,fp_ci95_high,fn_ci95_high,tp_ci95_high
10,logistic_l2_fixed,C_context_only,1440,72,46,376,0.2611111111111111,3,0.5955772076467765,0.3408799034365355,0.57521796512558,0.5771276595744681,0.5733082706766918,0.24304873031824717,610,454,159,217,0.5485948712565196,0.26035248478467365,0.5380493315052268,0.5218019082371239,0.5525310753642869,0.2376627479942829,507.975,360.0,109.0,164.0,0.64495002427828,0.4421799776659124,0.6154244828190744,0.6437708269326212,0.5957837766277752,0.24832456599236544,727.025,549.025,216.0,272.0
10,logistic_l2_fixed,B_behavior_only,1440,72,46,376,0.2611111111111111,12,0.55956796912494,0.3090561730011118,0.5840265557510799,0.39361702127659576,0.7744360902255639,0.24708381860789858,824,240,228,148,0.5002399153186621,0.22913364395948552,0.5488893717547285,0.31463068582883924,0.7107970535143681,0.23637960738330713,658.975,171.975,161.975,103.975,0.6210526054029822,0.4049438350936022,0.622638511987727,0.4730214621059691,0.8273919542548016,0.2602071017398158,999.025,314.04999999999995,304.0,195.02499999999998
10,logistic_l2_fixed,C_plus_B,1440,72,46,376,0.2611111111111111,15,0.638192889137738,0.35497414604232447,0.6100623900175972,0.5904255319148937,0.6296992481203008,0.23886677559539796,670,394,154,222,0.5917652697186092,0.2712135018709696,0.5721136952692955,0.5199850746268657,0.5891456901300506,0.2289859079735366,543.95,306.0,105.975,163.0,0.6834628011893337,0.4541765454508777,0.6500652657441327,0.6654718137254901,0.668889198168268,0.250667481422082,810.025,479.025,211.04999999999995,280.0
20,logistic_l2_fixed,C_context_only,1440,72,46,376,0.2611111111111111,3,0.5955772076467765,0.3408799034365355,0.57521796512558,0.5771276595744681,0.5733082706766918,0.24304873031824717,610,454,159,217,0.5485948712565196,0.26035248478467365,0.5380493315052268,0.5218019082371239,0.5525310753642869,0.2376627479942829,507.975,360.0,109.0,164.0,0.64495002427828,0.4421799776659124,0.6154244828190744,0.6437708269326212,0.5957837766277752,0.24832456599236544,727.025,549.025,216.0,272.0
20,logistic_l2_fixed,B_behavior_only,1440,72,46,376,0.2611111111111111,12,0.6327712565989442,0.3597969162145501,0.616941289393697,0.6117021276595744,0.6221804511278195,0.23774622279165072,662,402,146,230,0.5741462509052278,0.27542838720302243,0.5733603351173695,0.5213333333333333,0.5554393429128748,0.22336031838998924,513.0,318.0,99.0,166.0,0.6898508822651134,0.46614068442308093,0.6603318032717049,0.6975981420001165,0.6825860547120147,0.25581421257200876,818.025,492.025,203.02499999999998,299.025
20,logistic_l2_fixed,C_plus_B,1440,72,46,376,0.2611111111111111,15,0.6768392057270837,0.3903285783920848,0.6171112621980483,0.5904255319148937,0.643796992481203,0.22929014548120424,685,379,154,222,0.6309709696845142,0.30726137031541445,0.5792006439733817,0.5173190252448834,0.5866873910646093,0.21616173401671834,545.0,298.975,104.0,162.975,0.7245839628648504,0.4931836927929149,0.652054225668463,0.6613816738816739,0.6947917268038996,0.24575199818216933,837.05,462.025,211.0,284.0
30,logistic_l2_fixed,C_context_only,1440,72,46,376,0.2611111111111111,3,0.5955772076467765,0.3408799034365355,0.57521796512558,0.5771276595744681,0.5733082706766918,0.24304873031824717,610,454,159,217,0.5485948712565196,0.26035248478467365,0.5380493315052268,0.5218019082371239,0.5525310753642869,0.2376627479942829,507.975,360.0,109.0,164.0,0.64495002427828,0.4421799776659124,0.6154244828190744,0.6437708269326212,0.5957837766277752,0.24832456599236544,727.025,549.025,216.0,272.0
30,logistic_l2_fixed,B_behavior_only,1440,72,46,376,0.2611111111111111,12,0.65433280675092,0.3721199593146409,0.6282194848824187,0.6117021276595744,0.6447368421052632,0.23500806546136982,686,378,146,230,0.5903834704241264,0.28819675653156335,0.5777390088635936,0.5129511419952596,0.5803081441712623,0.21854119228890068,541.0,293.0,94.0,165.975,0.7152620841153787,0.4792802409491749,0.6772264686329038,0.7079366760205432,0.7042511486109322,0.2556187248817966,841.025,465.025,205.0,301.025
30,logistic_l2_fixed,C_plus_B,1440,72,46,376,0.2611111111111111,15,0.687020076787714,0.39583632333111296,0.6402775555911054,0.6170212765957447,0.6635338345864662,0.22743013714396806,706,358,144,232,0.6379116263671696,0.3111569902631538,0.6021499885763826,0.5441752303330971,0.610708948873061,0.21149073813624858,570.975,276.95,97.0,172.0,0.7364432594488851,0.49821523666258766,0.6787472689129307,0.6861031410450015,0.7118248327129065,0.24638911938779529,860.0,445.025,199.0,297.0
