window_s,feature_set,bin,n,mean_prediction,observed_rate
30,C_context_only,"(0.8, 0.9]",0,,
30,C_context_only,"(0.9, 1.0]",0,,
30,C_plus_B,"(-0.001, 0.1]",0,,
30,C_plus_B,"(0.1, 0.2]",15,0.17743128838917824,0.13333333333333333
30,C_plus_B,"(0.2, 0.3]",206,0.2587602721282732,0.0970873786407767
30,C_plus_B,"(0.3, 0.4]",333,0.3541435047020113,0.14714714714714713
30,C_plus_B,"(0.4, 0.5]",296,0.44960212425914364,0.24662162162162163
30,C_plus_B,"(0.5, 0.6]",252,0.5479692597546069,0.3412698412698413
30,C_plus_B,"(0.6, 0.7]",168,0.6476795507177073,0.44642857142857145
30,C_plus_B,"(0.7, 0.8]",113,0.7432111933979143,0.40707964601769914
30,C_plus_B,"(0.8, 0.9]",38,0.8363441680958246,0.4473684210526316
30,C_plus_B,"(0.9, 1.0]",19,0.9449273638562601,0.42105263157894735
