subject,n_total,n_near_lt1.5m,n_far_ge1.5m,near_fused_bias_bpm,far_fused_bias_bpm,within_session_far_minus_near_bias_bpm,near_time_bias_bpm,far_time_bias_bpm,far_pooled_fused_bias_bpm,far_pooled_n,far_share_of_this_session_pct,far_share_of_all_far_pct
9779,20,15,5,-5.272624,-7.426486,-2.153862,-4.852790,-2.862954,-13.308421,24,25.000,20.833
97793,20,16,4,-6.042120,-12.301104,-6.258984,-3.870305,-9.939157,-13.308421,24,20.000,16.667
97794,20,18,2,-5.176956,-3.395781,1.781175,-0.193800,-2.562675,-13.308421,24,10.000,8.333
97795,20,15,5,-16.241280,-21.232975,-4.991694,-12.214844,-21.399303,-13.308421,24,25.000,20.833
97796,20,12,8,-5.945066,-15.013604,-9.068538,-6.294517,-13.825859,-13.308421,24,40.000,33.333
