method,sessions,mean_fixed_f1,mean_optimal_f1,mean_f1_gain,sessions_f1_gain_ge_010,mean_fixed_recall,mean_optimal_recall,mean_recall_gain,mean_fixed_ibi_mae_ms,mean_optimal_ibi_mae_ms,mean_optimal_delay_ms
c1c_local_peak,3,0.24833635813672114,0.3532304900181488,0.10489413188142771,1,0.19998940453485906,0.2858797767888677,0.0858903722540086,43.78777219538091,49.50069696799741,-45.0
c1d_radarbeat_global_dp,3,0.1973884140550807,0.37048907882241217,0.17310066476733144,3,0.1698135198135198,0.32204916295825387,0.15223564314473406,53.36617986099114,52.12306484114361,70.0
