window_s,cohort,model,feature_set,n_probe,n_group,positive_n,positive_rate,roc_auc,pr_auc,balanced_accuracy
30,strict_matched,dummy,C+B,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
30,strict_matched,dummy,C+B+W,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
30,strict_matched,logistic,C+B,1420,46,376,0.2647887323943662,0.6858212073041494,0.39913427444798055,0.63944933561588
30,strict_matched,logistic,C+B+W,1420,46,376,0.2647887323943662,0.6463683052090976,0.37465821641907004,0.6192834433846907
30,strict_matched,HGB,C+B,1420,46,376,0.2647887323943662,0.6441736467759029,0.3590730041423217,0.5317365696584332
30,strict_matched,HGB,C+B+W,1420,46,376,0.2647887323943662,0.6288416075650118,0.3603972663181717,0.5591271296975626
