window_s,model,feature_set,n_probe,n_group,positive_n,positive_rate,roc_auc,pr_auc,balanced_accuracy
10,dummy,C,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
10,logistic,C,1440,46,376,0.2611111111111111,0.5955772076467765,0.3408799034365355,0.57521796512558
10,HGB,C,1440,46,376,0.2611111111111111,0.6124982502799552,0.3850271471800083,0.5528615421532554
10,dummy,B,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
10,logistic,B,1440,46,376,0.2611111111111111,0.55956796912494,0.3090561730011118,0.5840265557510799
10,HGB,B,1440,46,376,0.2611111111111111,0.5433580627099664,0.292409571130469,0.5089585666293392
10,dummy,W_basic,980,46,247,0.25204081632653064,0.4543084545238635,0.2336368475305803,0.5
10,logistic,W_basic,980,46,247,0.25204081632653064,0.5026870881685271,0.2624701410695158,0.49026517390127644
10,HGB,W_basic,980,46,247,0.25204081632653064,0.5139712014846646,0.26265658083736665,0.49768849661145204
10,dummy,W_extended,980,46,247,0.25204081632653064,0.4543084545238635,0.2336368475305803,0.5
10,logistic,W_extended,980,46,247,0.25204081632653064,0.5529878321577898,0.2926166069756728,0.539729137093968
10,HGB,W_extended,980,46,247,0.25204081632653064,0.5118668220556638,0.26065278620017185,0.5111764088571729
10,dummy,C+B,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
10,logistic,C+B,1440,46,376,0.2611111111111111,0.638192889137738,0.35497414604232447,0.6100623900175972
10,HGB,C+B,1440,46,376,0.2611111111111111,0.6116133918573028,0.34833046646571986,0.515367541193409
10,dummy,C+W_basic,980,46,247,0.25204081632653064,0.4543084545238635,0.2336368475305803,0.5
10,logistic,C+W_basic,980,46,247,0.25204081632653064,0.5765447304903039,0.2985273375910238,0.5456473590314331
10,HGB,C+W_basic,980,46,247,0.25204081632653064,0.5738051709186914,0.29223724377676175,0.49830434518450606
10,dummy,C+W_extended,980,46,247,0.25204081632653064,0.4543084545238635,0.2336368475305803,0.5
10,logistic,C+W_extended,980,46,247,0.25204081632653064,0.5715903253779322,0.30905962281261934,0.5424576500544045
10,HGB,C+W_extended,980,46,247,0.25204081632653064,0.5485691876874472,0.2924796981354375,0.5233000646226753
10,dummy,C+B+W,980,46,247,0.25204081632653064,0.4543084545238635,0.2336368475305803,0.5
10,logistic,C+B+W,980,46,247,0.25204081632653064,0.6032167731744095,0.3217987058098692,0.5890605409525493
10,HGB,C+B+W,980,46,247,0.25204081632653064,0.5918166704409255,0.30888318426540606,0.507699487989572
30,dummy,C,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
30,logistic,C,1440,46,376,0.2611111111111111,0.5955772076467765,0.3408799034365355,0.57521796512558
30,HGB,C,1440,46,376,0.2611111111111111,0.6124982502799552,0.3850271471800083,0.5528615421532554
30,dummy,B,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
30,logistic,B,1440,46,376,0.2611111111111111,0.65433280675092,0.3721199593146409,0.6282194848824187
30,HGB,B,1440,46,376,0.2611111111111111,0.5921577547592385,0.3171194489324823,0.5169272916333387
30,dummy,W_basic,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
30,logistic,W_basic,1420,46,376,0.2647887323943662,0.4817141517893536,0.2670327269800056,0.4833649221488546
30,HGB,W_basic,1420,46,376,0.2647887323943662,0.47052050216026736,0.278951766988894,0.5178629656802805
30,dummy,W_extended,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
30,logistic,W_extended,1420,46,376,0.2647887323943662,0.533698133202902,0.2891592269225105,0.5279357218553844
30,HGB,W_extended,1420,46,376,0.2647887323943662,0.5372416850085596,0.2873314646607985,0.5051459199478275
30,dummy,C+B,1440,46,376,0.2611111111111111,0.47640377539593665,0.2510007232176185,0.5
30,logistic,C+B,1440,46,376,0.2611111111111111,0.687020076787714,0.39583632333111296,0.6402775555911054
30,HGB,C+B,1440,46,376,0.2611111111111111,0.6459553971364582,0.3559936130621443,0.5320948648216286
30,dummy,C+W_basic,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
30,logistic,C+W_basic,1420,46,376,0.2647887323943662,0.5443287886198744,0.3052776004271469,0.533096926713948
30,HGB,C+W_basic,1420,46,376,0.2647887323943662,0.5360953167033504,0.3172335870728755,0.5311047933480069
30,dummy,C+W_extended,1420,46,376,0.2647887323943662,0.46858950843727065,0.2518516621847547,0.5
