alternate_target_true_candidate_n,fused_mae_bpm,mean_confidence,mean_motion_proxy,mean_phase_stability,n,primary_counts_json,selected_target_true_candidate_n,severity,spectral_mae_bpm,time_mae_bpm
24,14.958407417501258,0.2173154761904762,0.03408162862372895,0.9454552034907944,24,"{""HARMONIC_OR_HALF_DOUBLE_LOCK"": 7, ""SELECTED_TARGET_WRONG_PEAK"": 12, ""TARGET_BIN_CHANNEL_MISS"": 5}",14,AE_10_TO_20,20.53315885416667,11.099216915729402
21,7.31321875965151,0.14606122448979592,0.02860904826472203,0.9389073128969508,21,"{""HARMONIC_OR_HALF_DOUBLE_LOCK"": 4, ""SELECTED_TARGET_WRONG_PEAK"": 10, ""TARGET_BIN_CHANNEL_MISS"": 7}",12,AE_5_TO_10,16.977411086309523,6.678785180640513
18,26.87819181160715,0.34023809523809523,0.0202160545417832,0.926711725009738,18,"{""HARMONIC_OR_HALF_DOUBLE_LOCK"": 7, ""SELECTED_TARGET_WRONG_PEAK"": 6, ""TARGET_BIN_CHANNEL_MISS"": 5}",10,AE_GT_20,28.685450737847223,21.519083084059538
37,1.3411868132140796,0.38263320463320466,0.0372199654277112,0.9553547742369365,37,"{""CORRECT_OR_NEAR_CORRECT"": 37}",25,AE_LE_5,3.9374274704391894,2.7829102241864767
