session,range_bin,pair,ch_i,ch_j,same_tx,timestamp_source,coherence_hr_timestamp_aware,coherence_br_timestamp_aware,coherence_hr_legacy_frame_index,coherence_br_legacy_frame_index,input_frames,segments,gap_count,median_dt_ms,resampled_fs_hz,gap_threshold_ms,discarded_short_gap_segments,paired_segments,coherence_segments_used,coherence_weighted_by
sub-3_,9,tx0_rx1__tx1_rx3,tx0_rx1,tx1_rx3,False,device_ms,0.6879147542640588,0.9461779867885478,0.6716684699058533,0.9377352595329285,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx1__tx1_rx3,tx0_rx1,tx1_rx3,False,host_ms,nan,nan,0.6716684699058533,0.9377352595329285,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx2__tx0_rx3,tx0_rx2,tx0_rx3,True,device_ms,0.812054911417801,0.9734486084438062,0.7994024157524109,0.9660225510597229,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx2__tx0_rx3,tx0_rx2,tx0_rx3,True,host_ms,nan,nan,0.7994024157524109,0.9660225510597229,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx2__tx1_rx0,tx0_rx2,tx1_rx0,False,device_ms,0.8870870826190652,0.9905239876547003,0.8887462019920349,0.9909763932228088,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx2__tx1_rx0,tx0_rx2,tx1_rx0,False,host_ms,nan,nan,0.8887462019920349,0.9909763932228088,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx2__tx1_rx1,tx0_rx2,tx1_rx1,False,device_ms,0.6221152609752968,0.906091604189251,0.6183188557624817,0.8949186205863953,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx2__tx1_rx1,tx0_rx2,tx1_rx1,False,host_ms,nan,nan,0.6183188557624817,0.8949186205863953,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx2__tx1_rx2,tx0_rx2,tx1_rx2,False,device_ms,0.8857505347541974,0.9809619466132072,0.8825656771659851,0.9772750735282898,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx2__tx1_rx2,tx0_rx2,tx1_rx2,False,host_ms,nan,nan,0.8825656771659851,0.9772750735282898,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx2__tx1_rx3,tx0_rx2,tx1_rx3,False,device_ms,0.8281060679220476,0.9859207730573641,0.830254852771759,0.9851208925247192,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx2__tx1_rx3,tx0_rx2,tx1_rx3,False,host_ms,nan,nan,0.830254852771759,0.9851208925247192,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx3__tx1_rx0,tx0_rx3,tx1_rx0,False,device_ms,0.8200687470984886,0.9786338114094397,0.813960075378418,0.9701603651046753,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx3__tx1_rx0,tx0_rx3,tx1_rx0,False,host_ms,nan,nan,0.813960075378418,0.9701603651046753,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx3__tx1_rx1,tx0_rx3,tx1_rx1,False,device_ms,0.5852006678380619,0.8896178193601302,0.5680264830589294,0.8663273453712463,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx3__tx1_rx1,tx0_rx3,tx1_rx1,False,host_ms,nan,nan,0.5680264830589294,0.8663273453712463,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx3__tx1_rx2,tx0_rx3,tx1_rx2,False,device_ms,0.797156122356058,0.9755231537909027,0.7775965332984924,0.9670028686523438,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx3__tx1_rx2,tx0_rx3,tx1_rx2,False,host_ms,nan,nan,0.7775965332984924,0.9670028686523438,6000,0,1206,8.0,125.0,12.0,1207,0,,
