ecg_rpeak_n,matched_n,pooled_precision,pooled_sensitivity,radar_peak_n,tolerance_ms,window_n
699,83,0.14690265486725665,0.11874105865522175,565,50.0,8
699,119,0.21061946902654868,0.17024320457796852,565,75.0,8
699,161,0.2849557522123894,0.23032904148783978,565,100.0,8
699,251,0.44424778761061945,0.3590844062947067,565,150.0,8
