ecg_rpeak_n,matched_n,pooled_precision,pooled_sensitivity,radar_peak_n,tolerance_ms,window_n
1364,135,0.12396694214876033,0.09897360703812316,1089,50.0,16
1364,198,0.18181818181818182,0.14516129032258066,1089,75.0,16
1364,277,0.25436179981634527,0.20307917888563048,1089,100.0,16
1364,433,0.39761248852157943,0.31744868035190615,1089,150.0,16
